Case ID,Activity,Start Timestamp
0,a,1
0,b,2
0,c,3
0,g,4
0,e,5
0,h,6
1,a,7
1,b,8
1,c,9
1,g,10
1,e,11
1,h,12
2,a,13
2,b,14
2,c,15
2,g,16
2,e,17
2,h,18
3,a,19
3,b,20
3,c,21
3,g,22
3,e,23
3,h,24
4,a,25
4,b,26
4,c,27
4,g,28
4,e,29
4,h,30
5,a,31
5,b,32
5,c,33
5,g,34
5,e,35
5,h,36
6,a,37
6,b,38
6,c,39
6,g,40
6,e,41
6,h,42
7,a,43
7,b,44
7,c,45
7,g,46
7,e,47
7,h,48
8,a,49
8,b,50
8,c,51
8,g,52
8,e,53
8,h,54
9,a,55
9,b,56
9,c,57
9,g,58
9,e,59
9,h,60
10,a,61
10,b,62
10,c,63
10,f,64
10,g,65
10,h,66
11,a,67
11,b,68
11,c,69
11,f,70
11,g,71
11,h,72
12,a,73
12,b,74
12,c,75
12,f,76
12,g,77
12,h,78
13,a,79
13,b,80
13,c,81
13,f,82
13,g,83
13,h,84
14,a,85
14,b,86
14,c,87
14,f,88
14,g,89
14,h,90
15,a,91
15,b,92
15,c,93
15,f,94
15,g,95
15,h,96
16,a,97
16,b,98
16,c,99
16,f,100
16,g,101
16,h,102
17,a,103
17,b,104
17,c,105
17,f,106
17,g,107
17,h,108
18,a,109
18,b,110
18,c,111
18,f,112
18,g,113
18,h,114
19,a,115
19,b,116
19,c,117
19,f,118
19,g,119
19,h,120
20,a,121
20,b,122
20,d,123
20,g,124
20,e,125
20,h,126
21,a,127
21,b,128
21,d,129
21,g,130
21,e,131
21,h,132
22,a,133
22,b,134
22,d,135
22,g,136
22,e,137
22,h,138
23,a,139
23,b,140
23,d,141
23,g,142
23,e,143
23,h,144
24,a,145
24,b,146
24,d,147
24,g,148
24,e,149
24,h,150
25,a,151
25,b,152
25,d,153
25,g,154
25,e,155
25,h,156
26,a,157
26,b,158
26,d,159
26,g,160
26,e,161
26,h,162
27,a,163
27,b,164
27,d,165
27,g,166
27,e,167
27,h,168
28,a,169
28,b,170
28,d,171
28,g,172
28,e,173
28,h,174
29,a,175
29,b,176
29,d,177
29,g,178
29,e,179
29,h,180
30,a,181
30,b,182
30,d,183
30,e,184
30,g,185
30,h,186
31,a,187
31,b,188
31,d,189
31,e,190
31,g,191
31,h,192
32,a,193
32,b,194
32,d,195
32,e,196
32,g,197
32,h,198
33,a,199
33,b,200
33,d,201
33,e,202
33,g,203
33,h,204
34,a,205
34,b,206
34,d,207
34,e,208
34,g,209
34,h,210
35,a,211
35,b,212
35,d,213
35,e,214
35,g,215
35,h,216
36,a,217
36,b,218
36,d,219
36,e,220
36,g,221
36,h,222
37,a,223
37,b,224
37,d,225
37,e,226
37,g,227
37,h,228
38,a,229
38,b,230
38,d,231
38,e,232
38,g,233
38,h,234
39,a,235
39,b,236
39,d,237
39,e,238
39,g,239
39,h,240
40,a,241
40,b,242
40,e,243
40,c,244
40,g,245
40,h,246
41,a,247
41,b,248
41,e,249
41,c,250
41,g,251
41,h,252
42,a,253
42,b,254
42,e,255
42,c,256
42,g,257
42,h,258
43,a,259
43,b,260
43,e,261
43,c,262
43,g,263
43,h,264
44,a,265
44,b,266
44,e,267
44,c,268
44,g,269
44,h,270
45,a,271
45,b,272
45,e,273
45,c,274
45,g,275
45,h,276
46,a,277
46,b,278
46,e,279
46,c,280
46,g,281
46,h,282
